cell_id,step_ix,simulation_i,sim_time,,
cell331,1958,4,324.0833333,,
cell332,1105,2,914,,
cell333,1492,3,540.0833333,,
cell334,1582,3,720,,
cell335,1240,3,36.08333333,,
cell336,718,2,140.0833333,,
cell337,2596,5,452.0833333,,
cell338,2706,5,672,,
cell339,1451,3,458.0833333,,
cell340,2717,5,694,,
cell341,2736,5,732,,
cell342,99,1,50,,
cell343,919,2,542.0833333,,
cell344,5156,9,980,,
cell345,494,1,840,,
cell346,2990,6,92.08333333,,
cell347,1435,3,426.0833333,,
cell348,2973,6,58,,
cell349,5077,9,822,,
cell350,2442,5,144.0833333,,
cell351,201,1,254,,
cell352,4115,8,46,,
cell353,807,2,318.0833333,,
cell354,4328,8,472.0833333,,
cell355,1909,4,226,,
cell356,4815,9,298,,
cell357,1242,3,40,,
cell358,1299,3,154,,
cell359,1818,4,44,,
cell360,3528,7,20.08333333,,
cell361,4666,9,0,,
cell362,2371,5,2.083333333,,
cell363,1984,4,376.0833333,,
cell364,1240,3,36.08333333,,
cell365,825,2,354.0833333,,
cell366,3187,6,486.0833333,,
cell367,295,1,442.0833333,,
cell368,80,1,12,,
cell369,1452,3,460.0833333,,
cell370,2968,6,48,,
cell371,855,2,414.0833333,,
cell372,5075,9,818,,
cell373,3789,7,542.0833333,,
cell374,99,1,50,,
cell375,462,1,776,,
cell376,2655,5,570.0833333,,
cell377,5071,9,810,,
cell378,2597,5,454.0833333,,
cell379,1364,3,284,,
cell380,4966,9,600.0833333,,
cell381,2617,5,494.0833333,,
cell382,3193,6,498.0833333,,
cell383,4923,9,514.0833333,,
cell384,1272,3,100.0833333,,
cell385,456,1,764,,
cell386,87,1,26.08333333,,
cell387,4376,8,568.0833333,,
cell388,5109,9,886,,
cell389,1230,3,16,,
cell390,2510,5,280,,
cell391,80,1,12,,
cell392,4861,9,390.0833333,,
cell393,2998,6,108.0833333,,
cell394,1706,3,968,,
cell395,5277,10,74,,
cell396,3659,7,282,,
cell397,880,2,464.0833333,,
cell398,4728,9,124.0833333,,
cell399,4741,9,150.0833333,,
cell400,5374,10,268,,
cell401,4697,9,62,,
cell402,921,2,546.0833333,,
cell403,4941,9,550.0833333,,
cell404,972,2,648,,
cell405,1067,2,838,,
cell406,3219,6,550.0833333,,
cell407,214,1,280,,
cell408,3975,7,914,,
cell409,2956,6,24.08333333,,
cell410,5266,10,52,,
cell411,3973,7,910,,
cell412,891,2,486.0833333,,
cell413,1043,2,790,,
cell414,839,2,382.0833333,,
cell415,150,1,152.0833333,,
cell416,3838,7,640,,
cell417,4710,9,88.08333333,,
